subject,from,date,body,predicted_queue
"✅ D3code, finish setting up your new Google Account on your CPH2467",Google <no-reply@google.com>,"Thu, 10 Apr 2025 02:23:16 -0700","Hi D3code,

A better Android experience is waiting

Take one minute to set up your CPH2467 with Google

Get  
started<https://notifications.google.com/g/p/ANiao5oTfzSb_F4abAOnu_Qrjm1x0T7EDFfhyvk-9S1XLw_ZmTLdCO9M57vQ2JP6lPFoWNenNr0L6vcXtTi2343ZslzrkXuE5nvSbclNvUnwUwsBOEZTGKfzcwcIIvawl1Oq-ccUCOQwwe1V2mU9q1qFLiDuywA8v97qtu4S_KJS07IBo6uET0dxojrO8dbZKv8cTkPX_c65_0f24YBDcfVOEoXtzkSlNq0-lP8WrxB9676oxLzCiUlXGs3sA4Q8vYWl2RZ68ePEbqA0Gn4o7rXL5wnLCt5Pu8M3cgTfNdr6DXm7nVKEyeGpPisUszN0JZUksfKwY2OBK_9FjHfv24UeUgEMi4-PQ6UDdLej21Ya9CemEveEl78hoNT2VZEa-MkEzIORUgHcox7PlL3hqHHEQmUAtR2dAQzOpEEZGhUpbT0wGaOpt3i7X7e1UmtaOxsZC3v2u0IOpCxqTt3FvEzVixvU4x45OT2gonnkiwar49MTKRGrVUFK_g5jXoUpEeVIAI4YYBVVRxFttvLhS3fhc1SJbqZlhHmuacU5A_vItM1eAkgdIK0HanPUmHbZW2ikAB9tV9ukZZIUFZfrpL6VYCLBn8D0sdnIj2JQctATw7lxnkmjJa4MFRGZZwkYJHhz9k1KDAPCh8BRuA>

This email was sent to d3code1105@gmail.com<d3code1105@gmail.com> because  
you created a Google Account on your CPH2467 device. If you do not wish to  
receive emails to help you set up your device with Google when you sign  
into your account on the device for the first time, please  
unsubscribe<https://notifications.google.com/g/p/ANiao5qabYlFRaIb93JSgeiCxXJ2CmNKajNc-YjCEBk7z3GUkkAa2-GPb_GB_0zUVPhWp7hFrBx-20dsTHdddzztLKR-zF8VAPHQwZFVKQ-AR_jpSlREaqZXBKd8VF-Kwha4XimHYUvKaeEKwP_0EUf2mmceSzQ25zY3k4_rrkKKU91iRifGR4c-flSQx2yD8hgbB9Om9OccmPTw7Q9y8sNlrT3XvsYmzrIEpINpbZJ6fOBz1uG4NgTG2WpKua6Tt3MZSDyVC7kh5xKuam2vmYX4L10uclTJDPi2jYFVpQLnZBLD9wXsMn_7PjTPi4oMqYdvXfyTCYvvq_lfzx2ZLoy2aE9iQR1HFmtIa5oDuvInwte_Mfspk3F1fCGKNugQzxsetQmRmZzyMjggktKIHHI0drKzRZHbFsOWUieMRtTIjv2Wa5tkJtSSn2WYYImCTB6FDxNVmwMZv6LHXQWSIztKKixmGq-IKlAvqqrGvZb8ycYCIfkMwYVWOakXCgZpRPPRfjMBCK4fx0IuCdeD0H5gTkY08BngDd26NMTWO_G-YZIMf_8teoH2ec0ZxFLlJiCeEw>.
© 2025 Google LLC 1600 Amphitheatre Parkway, Mountain View, CA 94043
",Billing and Payments
Security alert,Google <no-reply@accounts.google.com>,"Thu, 10 Apr 2025 14:13:09 GMT","[image: Google]
Phone number added for 2-Step Verification


d3code1105@gmail.com
Codes to sign in to your account now go to a new phone number. If you
didn't add this number, someone might be using your account. Check and
secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=d3code1105@gmail.com&continue=https://myaccount.google.com/alert/nt/1744294389678?rfn%3D259%26rfnc%3D1%26eid%3D6637952518073756927%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",Billing and Payments
2-Step Verification turned on,Google <no-reply@accounts.google.com>,"Thu, 10 Apr 2025 14:13:12 GMT","[image: Google]
2-Step Verification turned on


d3code1105@gmail.com

Your Google Account d3code1105@gmail.com is now protected with 2-Step
Verification. When you sign in on a new or untrusted device, you’ll need
your second factor to verify your identity.

*Don't get locked out!*
You can add a backup phone or get backup codes to use when you don’t have
your second factor with you.
You can review your 2SV settings
<https://accounts.google.com/AccountChooser?Email=d3code1105@gmail.com&continue=https://myaccount.google.com/signinoptions/two-step-verification?rfn%3D16%26rfnc%3D1%26eid%3D-5669319566477916572%26et%3D0>
to make changes.
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",Billing and Payments
Security alert,Google <no-reply@accounts.google.com>,"Thu, 10 Apr 2025 14:14:56 GMT","[image: Google]
App password created to sign in to your account


d3code1105@gmail.com
If you didn't generate this password for Mail, someone might be using your
account. Check and secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=d3code1105@gmail.com&continue=https://myaccount.google.com/alert/nt/1744294496052?rfn%3D20%26rfnc%3D1%26eid%3D2015144452940026134%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",Billing and Payments
,Nimisha Upadhyay <nimishaupadhyay1106@gmail.com>,"Fri, 11 Apr 2025 12:30:13 +0530","i recently noticed an incorrect charge on my invoice, it doesnt math with
the agreed upon amount
start the process of refund asap
",Billing and Payments
"✅ D3code, finish setting up your new Google Account on your CPH2467",Google <no-reply@google.com>,"Thu, 10 Apr 2025 02:23:16 -0700","Hi D3code,

A better Android experience is waiting

Take one minute to set up your CPH2467 with Google

Get  
started<https://notifications.google.com/g/p/ANiao5oTfzSb_F4abAOnu_Qrjm1x0T7EDFfhyvk-9S1XLw_ZmTLdCO9M57vQ2JP6lPFoWNenNr0L6vcXtTi2343ZslzrkXuE5nvSbclNvUnwUwsBOEZTGKfzcwcIIvawl1Oq-ccUCOQwwe1V2mU9q1qFLiDuywA8v97qtu4S_KJS07IBo6uET0dxojrO8dbZKv8cTkPX_c65_0f24YBDcfVOEoXtzkSlNq0-lP8WrxB9676oxLzCiUlXGs3sA4Q8vYWl2RZ68ePEbqA0Gn4o7rXL5wnLCt5Pu8M3cgTfNdr6DXm7nVKEyeGpPisUszN0JZUksfKwY2OBK_9FjHfv24UeUgEMi4-PQ6UDdLej21Ya9CemEveEl78hoNT2VZEa-MkEzIORUgHcox7PlL3hqHHEQmUAtR2dAQzOpEEZGhUpbT0wGaOpt3i7X7e1UmtaOxsZC3v2u0IOpCxqTt3FvEzVixvU4x45OT2gonnkiwar49MTKRGrVUFK_g5jXoUpEeVIAI4YYBVVRxFttvLhS3fhc1SJbqZlhHmuacU5A_vItM1eAkgdIK0HanPUmHbZW2ikAB9tV9ukZZIUFZfrpL6VYCLBn8D0sdnIj2JQctATw7lxnkmjJa4MFRGZZwkYJHhz9k1KDAPCh8BRuA>

This email was sent to d3code1105@gmail.com<d3code1105@gmail.com> because  
you created a Google Account on your CPH2467 device. If you do not wish to  
receive emails to help you set up your device with Google when you sign  
into your account on the device for the first time, please  
unsubscribe<https://notifications.google.com/g/p/ANiao5qabYlFRaIb93JSgeiCxXJ2CmNKajNc-YjCEBk7z3GUkkAa2-GPb_GB_0zUVPhWp7hFrBx-20dsTHdddzztLKR-zF8VAPHQwZFVKQ-AR_jpSlREaqZXBKd8VF-Kwha4XimHYUvKaeEKwP_0EUf2mmceSzQ25zY3k4_rrkKKU91iRifGR4c-flSQx2yD8hgbB9Om9OccmPTw7Q9y8sNlrT3XvsYmzrIEpINpbZJ6fOBz1uG4NgTG2WpKua6Tt3MZSDyVC7kh5xKuam2vmYX4L10uclTJDPi2jYFVpQLnZBLD9wXsMn_7PjTPi4oMqYdvXfyTCYvvq_lfzx2ZLoy2aE9iQR1HFmtIa5oDuvInwte_Mfspk3F1fCGKNugQzxsetQmRmZzyMjggktKIHHI0drKzRZHbFsOWUieMRtTIjv2Wa5tkJtSSn2WYYImCTB6FDxNVmwMZv6LHXQWSIztKKixmGq-IKlAvqqrGvZb8ycYCIfkMwYVWOakXCgZpRPPRfjMBCK4fx0IuCdeD0H5gTkY08BngDd26NMTWO_G-YZIMf_8teoH2ec0ZxFLlJiCeEw>.
© 2025 Google LLC 1600 Amphitheatre Parkway, Mountain View, CA 94043
",Billing and Payments
Security alert,Google <no-reply@accounts.google.com>,"Thu, 10 Apr 2025 14:13:09 GMT","[image: Google]
Phone number added for 2-Step Verification


d3code1105@gmail.com
Codes to sign in to your account now go to a new phone number. If you
didn't add this number, someone might be using your account. Check and
secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=d3code1105@gmail.com&continue=https://myaccount.google.com/alert/nt/1744294389678?rfn%3D259%26rfnc%3D1%26eid%3D6637952518073756927%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",Billing and Payments
2-Step Verification turned on,Google <no-reply@accounts.google.com>,"Thu, 10 Apr 2025 14:13:12 GMT","[image: Google]
2-Step Verification turned on


d3code1105@gmail.com

Your Google Account d3code1105@gmail.com is now protected with 2-Step
Verification. When you sign in on a new or untrusted device, you’ll need
your second factor to verify your identity.

*Don't get locked out!*
You can add a backup phone or get backup codes to use when you don’t have
your second factor with you.
You can review your 2SV settings
<https://accounts.google.com/AccountChooser?Email=d3code1105@gmail.com&continue=https://myaccount.google.com/signinoptions/two-step-verification?rfn%3D16%26rfnc%3D1%26eid%3D-5669319566477916572%26et%3D0>
to make changes.
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",Billing and Payments
Security alert,Google <no-reply@accounts.google.com>,"Thu, 10 Apr 2025 14:14:56 GMT","[image: Google]
App password created to sign in to your account


d3code1105@gmail.com
If you didn't generate this password for Mail, someone might be using your
account. Check and secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=d3code1105@gmail.com&continue=https://myaccount.google.com/alert/nt/1744294496052?rfn%3D20%26rfnc%3D1%26eid%3D2015144452940026134%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",Billing and Payments
,Nimisha Upadhyay <nimishaupadhyay1106@gmail.com>,"Fri, 11 Apr 2025 12:30:13 +0530","i recently noticed an incorrect charge on my invoice, it doesnt math with
the agreed upon amount
start the process of refund asap
",Billing and Payments
